[INFO] [launch]: All log files can be found below /home/seeed/.ros/log/2026-07-02-12-46-40-468143-seeed-13174
[INFO] [launch]: Default logging verbosity is set to INFO
[pcd_ndt_localizer-1] [WARN] [1782967705.815773757] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8650 points=2275
[pcd_ndt_localizer-1] [WARN] [1782967706.908291893] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8281 points=2389
[pcd_ndt_localizer-1] [WARN] [1782967708.014480421] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8089 points=2355
[pcd_ndt_localizer-1] [WARN] [1782967709.016712699] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8009 points=2340
[pcd_ndt_localizer-1] [WARN] [1782967710.118100016] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7886 points=2358
[pcd_ndt_localizer-1] [WARN] [1782967711.119950554] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8598 points=2389
[pcd_ndt_localizer-1] [WARN] [1782967712.220399601] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8546 points=2265
[pcd_ndt_localizer-1] [WARN] [1782967713.227631304] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7386 points=2364
[pcd_ndt_localizer-1] [WARN] [1782967714.311383237] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8289 points=2307
[pcd_ndt_localizer-1] [WARN] [1782967715.410041314] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8730 points=2354
[pcd_ndt_localizer-1] [WARN] [1782967716.422848461] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8160 points=2318
[pcd_ndt_localizer-1] [WARN] [1782967717.520030939] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8163 points=2312
[pcd_ndt_localizer-1] [WARN] [1782967718.619242890] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7778 points=2339
[pcd_ndt_localizer-1] [WARN] [1782967719.620382909] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8350 points=2364
[pcd_ndt_localizer-1] [WARN] [1782967720.719778802] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8572 points=2331
[pcd_ndt_localizer-1] [WARN] [1782967721.725729888] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8402 points=2406
[pcd_ndt_localizer-1] [WARN] [1782967722.813218709] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8031 points=2294
[pcd_ndt_localizer-1] [WARN] [1782967723.821366922] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7495 points=2293
[pcd_ndt_localizer-1] [WARN] [1782967724.918623770] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.8608 points=2287
[pcd_ndt_localizer-1] [WARN] [1782967726.014890538] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7915 points=2336
[pcd_ndt_localizer-1] [WARN] [1782967727.019867801] [pcd_ndt_localizer]: NDT rejected: converged=1 fitness=0.7818 points=2353
